year,scale,title
13.7,9,"The observable universe exists as an infinitesimal point, and for unknown reasons, erupts. In a millionth of a millionth of a millionth of a millionth of a millionth of a millionth of a second, the universe goes from a size a million billion billion times smaller than an atom, to a size larger than 100 billion galaxies. Hydrogen is soon created, the fundamental building block for all other structure in the universe. Due to the asymmetric distribution of the substance, and the emergence of gravity, galaxies begin to form."
13,9,"With high pressures and temperatures above 18 million degrees Fahrenheit, hydrogen atoms smash together creating helium. As a result, the first stars are born, and there is light. Inside these stars, 25 of the most common elements are manufactured, giving the universe more chemical variety for sculpting, including lithium, nitrogen, silicon, carbon, oxygen, iron. It is these elements that will spur the Iron Age. Around this time, the earliest starts begin to die and explode, only millions of years after their birth. These supernovas fuse chemicals too heavy for stars to fuse, such as gold, copper, uranium, and bronze. It is these elements that will spur the Bronze Age. The chemistry set of elements forged by starts and supernovas complete the periodic table. In this sense our bodies and everything we know is made of stardust. Supernovas are critical to our existence."
8,9,"As the life cycles of stars continue, the universe continues mixing the resulting elements and gradually the density of heavy elements increases."
4.6,9,"A special star is born: our sun. Most of the dust in the solar system is pulled to the sun, but in the process gravity manages to pull together clumps of dust into what we call planets. The third planet from sun, our Earth, is covered with molten rock and spins so rapidly that days last a mere 6 hours. Lighter elements float to the Earth's surface forming a crust, while heavier elements sink and form Earth's iron, nickel core. This molten metal core yields the magnetic force surrounding Earth that protects us for the Sun's particles. It is now, after two third of the history of the universe has passed, that the story of Earth begins."
4.5,9,"An asteroid the size of Mars collides with the planet, altering the planet's momentum, and spewing into space debris that in less a year is gathered together by gravity to form the Moon. This change in momentum and the gravitational pull of the Moon slows the Earth's rotation and allows the planet to spin steadily, protecting future life from wild climate swings. But in addition, the Earth becomes tilted on its axis of rotation, giving rise to mild and consistent climate swings essential for life's evolution: the seasons.
4.4,9,"Though Earth's magnetic field will allow explorers to navigate the oceans using a compass, those oceans are yet to be created. With steam filling the atmosphere, and the planet gradually cooling, it begins to rain. For millions of years it rains, and the rain doesn't stop. The rain forms puddles, basins, ponds, lakes, rivers, and eventually oceans that cover two thirds of the planet's surface."
3.8,9,"Deep under the oceans, six simple elements including hydrogen, oxygen, carbon, and nitrogen, combine creating complex substance structures, the most spectacular of which is a long spiral we call DNA. The catalysts are a mystery, but suddenly miniscule chemical blobs, known today as cells or more specifically bacterial cells, begin to self-replicate. With cellular division, life begins. For the next three billion years, micros like these keep the earth to themselves."
2.5,9,"A particular form of bacteria discovers how to use the energy of the sun, and in the process creates an important waist product: oxygen. The ocean is filled with iron particles, and as the oxygen waist product grows in volume, the oxygen rusts the iron. Flakes of rusted iron pile on the ocean floor. It is these deposits that will give rise to steel and drive the Industrial Revolution. Once all the iron in the oceans is rusted, the oxygen begins to fill the ocean and rise to the surface filling the atmosphere. The sky turns blue, and so do the oceans. Oceanic life forms begin to learn to life off this abundant element of oxygen, and the gradually learn to do so efficiently."
550,6,"The planet undergoes it fourteen millionth birthday. Next comes the biological version of the Big Bang: the Cambrian Explosion. With oxygen levels higher than ever before, the size and complexity of species goes wild. Over the next thirty million years, the few major animal groups evolve. One such group is that of the bony fish. These fish are the ancestors of all vertebrates, such as ourselves. This is due to a few fundamental body parts of the fish's body design, such as a spine, a jaw, and teeth."
500,6,"For roughly three billion years, life has kept to the oceans. But for the last half billion years until today, life makes its move onto land. With an ozone layer of oxygen to offer protection from radiation, plants make the move first. Over millions of years, forests begin to cover land mass, sculpting an environment for animals to follow plants in expanding from the oceans to the land."
400,6,"Amphibians begin learning to live on land, consuming oxygen in gas form instead of liquid form. But these animals still must live next to the ocean, most importantly for purposes of reproduction. For life to spread to all terrains and corners of the planet, animals must cut this final tie with the ocean. Certain amphibians discover how to replace jelly-like eggs that dry out on land with hard-shelled eggs that contain the moisture. These amphibians evolve into reptiles."
